epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,2872.44,1.10717,1.14835,1.45027,0.91008,0.41787,0.48551,0.31381,1.33281,3.00728,1.58427,0.00100459,0.00100459,0.00100459
17,3051.98,1.09668,1.11961,1.44199,0.88961,0.41701,0.49423,0.31097,1.37991,2.71645,1.62917,0.000976293,0.000976293,0.000976293
18,3230.98,1.09226,1.11565,1.43545,0.9114,0.42419,0.4845,0.31868,1.34137,3.03226,1.60778,0.000947999,0.000947999,0.000947999
19,3404.65,1.08337,1.09323,1.43039,0.91161,0.42816,0.49412,0.32624,1.3468,2.64752,1.61801,0.000919704,0.000919704,0.000919704
20,3582.43,1.07801,1.065,1.41822,0.91745,0.43242,0.49459,0.33103,1.31406,2.83714,1.5734,0.00089141,0.00089141,0.00089141
21,3757.24,1.05567,1.04557,1.40756,0.90423,0.44293,0.50207,0.33042,1.32764,2.88748,1.57781,0.000863116,0.000863116,0.000863116
22,3933.54,1.05064,1.0384,1.40445,0.90543,0.42595,0.49444,0.33274,1.27865,2.87258,1.53658,0.000834822,0.000834822,0.000834822
23,4110.24,1.05335,1.03211,1.40154,0.92826,0.45224,0.50884,0.34518,1.28614,2.52383,1.5452,0.000806528,0.000806528,0.000806528
24,4286.72,1.04644,1.02598,1.39279,0.92288,0.43994,0.51212,0.33844,1.2891,3.13334,1.5346,0.000778233,0.000778233,0.000778233
25,4461.85,1.03784,1.01,1.38702,0.90573,0.43828,0.50089,0.3325,1.27193,3.05543,1.54473,0.000749939,0.000749939,0.000749939
26,4634.56,1.02314,0.99012,1.37639,0.89882,0.44798,0.50625,0.33843,1.27898,2.93057,1.53184,0.000721645,0.000721645,0.000721645
27,4808.13,1.01328,0.96672,1.36807,0.91065,0.44268,0.49918,0.33342,1.29026,2.55307,1.55989,0.000693351,0.000693351,0.000693351
28,4982.17,1.01038,0.9589,1.36526,0.92248,0.44473,0.51428,0.3453,1.26954,2.5824,1.52332,0.000665057,0.000665057,0.000665057
29,5153.05,1.01114,0.96002,1.3679,0.92887,0.438,0.50873,0.34249,1.25815,2.87102,1.51124,0.000636762,0.000636762,0.000636762
30,5326.29,0.99336,0.93881,1.35414,0.91915,0.44419,0.50941,0.3408,1.24689,2.83655,1.5235,0.000608468,0.000608468,0.000608468
31,5499.33,0.98856,0.93251,1.35118,0.91898,0.45771,0.51394,0.34734,1.25162,2.47193,1.51651,0.000580174,0.000580174,0.000580174
32,5672.93,0.98159,0.92746,1.34085,0.91119,0.46723,0.52259,0.3538,1.24691,2.78678,1.50762,0.00055188,0.00055188,0.00055188
33,5847.37,0.96951,0.90418,1.33725,0.91065,0.47153,0.52263,0.35649,1.2346,2.81617,1.49799,0.000523586,0.000523586,0.000523586
34,6019.97,0.97373,0.90888,1.33709,0.93334,0.46439,0.52519,0.36009,1.2532,2.18215,1.51339,0.000495291,0.000495291,0.000495291
35,6191.24,0.95832,0.88235,1.32938,0.90709,0.46608,0.52808,0.35948,1.23938,2.84924,1.50368,0.000466997,0.000466997,0.000466997
36,6365.63,0.95636,0.88488,1.32488,0.92922,0.44857,0.52255,0.35815,1.21946,2.71577,1.49195,0.000438703,0.000438703,0.000438703
37,6539.41,0.9491,0.87456,1.32284,0.89815,0.47136,0.528,0.36086,1.23311,2.67891,1.50233,0.000410409,0.000410409,0.000410409
38,6713.14,0.94586,0.86117,1.31574,0.9209,0.46262,0.53059,0.35806,1.23957,2.41233,1.50433,0.000382115,0.000382115,0.000382115
39,6885.24,0.93138,0.84618,1.30862,0.92213,0.47786,0.53678,0.36526,1.2449,2.38402,1.51206,0.00035382,0.00035382,0.00035382
40,7059.04,0.92871,0.8414,1.30747,0.89686,0.48399,0.53068,0.36013,1.22686,2.2104,1.50573,0.000325526,0.000325526,0.000325526
41,7263.7,0.87262,0.63266,1.3293,0.90903,0.47849,0.53291,0.3607,1.20791,2.30955,1.48133,0.000297232,0.000297232,0.000297232
